Model,HyperParameters,Scaler,Test Size,Outlier Handling,Fit Time(s),Validation RMSLE,Test RMSLE
ElasticNet,"{'warm_start': False, 'selection': 'random', 'l1_ratio': 0.9500000000000001, 'alpha': 1.3000000000000003}",None,0.3,Replace,32.322420597076416,0.1555299653745579,0.15308599191519218
RandomForestRegressor,"{'warm_start': False, 'n_estimators': 200, 'min_samples_split': 8, 'max_features': 'auto', 'max_depth': 32}",StandardScaler,0.2,YeoJonson,65.83982896804811,0.1459871651128925,0.15342953553409938
RandomForestRegressor,"{'warm_start': False, 'n_estimators': 200, 'min_samples_split': 8, 'max_features': 'auto', 'max_depth': 32}",MinMaxScaler,0.2,YeoJonson,65.75970411300659,0.14598939399621386,0.15353675915919165
RandomForestRegressor,"{'warm_start': False, 'n_estimators': 200, 'min_samples_split': 8, 'max_features': 'auto', 'max_depth': 32}",RobustScaler,0.2,YeoJonson,67.06420874595642,0.1459897827738102,0.1535571411575075
RandomForestRegressor,"{'warm_start': False, 'n_estimators': 200, 'min_samples_split': 8, 'max_features': 'auto', 'max_depth': 32}",None,0.2,YeoJonson,66.34521746635437,0.1459953882229212,0.15355821671131095
RandomForestRegressor,"{'warm_start': False, 'n_estimators': 200, 'min_samples_split': 8, 'max_features': 'auto', 'max_depth': 32}",RobustScaler,0.2,Log,66.09429693222046,0.1460193431664758,0.1535588216050313
RandomForestRegressor,"{'warm_start': False, 'n_estimators': 200, 'min_samples_split': 8, 'max_features': 'auto', 'max_depth': 32}",None,0.2,Log,66.88991928100586,0.14601351970308168,0.15356234488579704
RandomForestRegressor,"{'warm_start': False, 'n_estimators': 200, 'min_samples_split': 8, 'max_features': 'auto', 'max_depth': 32}",MinMaxScaler,0.2,Log,66.50497913360596,0.14603485903774768,0.1535884255948586
RandomForestRegressor,"{'warm_start': False, 'n_estimators': 200, 'min_samples_split': 8, 'max_features': 'auto', 'max_depth': 32}",StandardScaler,0.2,Log,65.66574549674989,0.1460203774614373,0.15360710250320014
ElasticNet,"{'warm_start': False, 'selection': 'random', 'l1_ratio': 0.65, 'alpha': 0.2}",None,0.1,Replace,46.55297613143921,0.1562081335249736,0.15398531417077801
ElasticNet,"{'warm_start': True, 'selection': 'cyclic', 'l1_ratio': 0.9500000000000001, 'alpha': 0.30000000000000004}",MinMaxScaler,0.2,Replace,7.027848243713379,0.14953142313119075,0.15457805639972014
ElasticNet,"{'warm_start': False, 'selection': 'random', 'l1_ratio': 0.9500000000000001, 'alpha': 1.3000000000000003}",RobustScaler,0.2,Replace,7.9166603088378915,0.14941425226039354,0.1549570754861059
LinearRegression,,None,0.1,YeoJonson,0.93342924118042,0.1676553002869221,0.1557510304023623
LinearRegression,,MinMaxScaler,0.1,YeoJonson,0.9334361553192142,0.1676553000612265,0.15575103102249796
LinearRegression,,StandardScaler,0.1,YeoJonson,0.9334473609924316,0.1676553000612331,0.15575103102249893
LinearRegression,,RobustScaler,0.1,YeoJonson,0.9647252559661864,0.16765530006123494,0.15575103102250318
ElasticNet,"{'warm_start': False, 'selection': 'random', 'l1_ratio': 0.65, 'alpha': 0.2}",StandardScaler,0.2,Replace,7.825736284255981,0.15134604046051367,0.1559562779031467
AdaBoostRegressor,"{'n_estimators': 64, 'loss': 'linear', 'learning_rate': 0.001, 'base_estimator': LinearRegression()}",MinMaxScaler,0.1,Replace,35.786303997039795,0.18362512344960608,0.15667437772329282
RandomForestRegressor,"{'warm_start': False, 'n_estimators': 100, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 128}",None,0.2,Replace,68.69411778450011,0.14644404353757998,0.15687941403788502
RandomForestRegressor,"{'warm_start': False, 'n_estimators': 100, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 128}",RobustScaler,0.2,Replace,60.49259567260742,0.14647560567410886,0.15689756208949507
RandomForestRegressor,"{'warm_start': False, 'n_estimators': 100, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 128}",MinMaxScaler,0.2,Replace,64.87267899513246,0.14645163239414025,0.15694294526095112
RandomForestRegressor,"{'warm_start': False, 'n_estimators': 100, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 128}",StandardScaler,0.2,Replace,70.12513637542725,0.14649152532301807,0.15701212155363392
AdaBoostRegressor,"{'n_estimators': 32, 'loss': 'exponential', 'learning_rate': 0.01, 'base_estimator': ElasticNet()}",RobustScaler,0.3,Replace,33.46517848968506,0.15925036580210045,0.15736574920389546
